,name,time,tweet
0,saidy gisela,2022-03-13 01:47:44,Sinceramente disfrute tanto con mis hermanas de sangre morada Army que quiero que vuelva a pasar pero ahora en pres… https://t.co/0LV5T8bjd5
1,LauT95,2022-03-13 01:47:34,"LO MEJOR SIEMPRE SERAN LOS REGALOS QUE ARMY DAN 💜🤭 LAS AMO 
#CINEPOLIS #PermissionToDanceOnStage… https://t.co/x2zwokY46S"
2,AleMingguka🌈🍒,2022-03-13 01:47:09,"Best Day 😭✨ Diosss me la pase tan bien y fui tan feliz 😭

Ahora ando afónica pero feliz 🤭💜 

 #BTS_IN_MEXICO https://t.co/yjUpUqt69M"
3,𝐉𝐈𝐌𝐃𝐘🇲🇽 ⁷💗🐣💗,2022-03-13 01:46:29,"Sin duda la una de las mejores experiencias 😩💜

#BTS_IN_MEXICO https://t.co/VZyd4i7xUU"
4,☄︎ᵏᵃⁿᵈʳᵃ･ﾟૄ,2022-03-13 01:46:12,Gracias por darle color a mi vida (っ˘̩╭╮˘̩)っ #BTS_IN_MEXICO https://t.co/oJUB73k8k3
5,YAMF,2022-03-13 01:46:07,"#BTS_IN_MEXICO #cinepolis  #puebla
BTS llevó a #ARMY al cine por la primera victoria de ""I NEED YOU"". 12 de Marzo 2… https://t.co/PpDkmyVMC6"
6,SugaDay,2022-03-13 01:45:08,"Fue grandioso, el poder disfrutar el concierto sin problemas y con demás personas que también les gusta ellos. 
Es… https://t.co/ysue6897cT"
7,민 슈가🐱🎂,2022-03-13 01:44:49,Fan #1 de ti&lt;3 #YOONGI #BTS #bts_in_mexico #cinepolis #BTSCONCERT https://t.co/lLKJ1HRJdW
8,olí 💜✨,2022-03-13 01:43:22,"#BTS_IN_MEXICO
Se logro,hoy fuy realmente feliz🥰🥰 https://t.co/DlG3UUiROJ"
9,olí 💜✨,2022-03-13 01:42:38,"#BTS_IN_MEXICO
El mejor dia de todo el año😍 https://t.co/YBro8o4VKs"
10,iryan,2022-03-13 01:42:31,"Algunas fotos que tome 
(Perdonen la calidad)  #BTS_IN_MEXICO #PermissionToDanceOnStageSeoul #BTS_PTD_ON_STAGE_SEOUL https://t.co/XfPVUuIFoq"
11,Melani 💜,2022-03-13 01:40:05,"Ya llegué del cine, sin voz pero feliz... 💜☺️😍 
Gracias @Cinepolis @MasQueCineLatam 

#BTSCONCERT… https://t.co/cQ8OltdHBo"
12,AENDI FROG–⟭⟬⁷💜🌺,2022-03-13 01:38:46,"Fui feliz como nunca, lo disfrute muchísimo, grité, bailé y sobre todo amé cada instante.

#BTSARMY… https://t.co/CITxw8pPdO"
13,club de fans de Maria Daniela y su Sonido Lasser,2022-03-13 01:38:23,"Rip voz, morales y almacenamiento #BTS_IN_MEXICO https://t.co/L2J78TaBEJ"
14,LunaMoon_Limelight🖤🔙,2022-03-13 01:38:11,"#BTS_IN_MEXICO  BUENOS GRITOS!! ME QUEDE LITERALMENTE SIN VOZ, FUE INCREIBLE ⚘💜💜💜💜 https://t.co/YVABWGKVoi"
15,🎥 Kim Taehyung 💜🇲🇽🇰🇷,2022-03-13 01:36:17,"#ARMY que tal la pasaron? 
Me quedé sin voz jajaja sin duda fue un momento increíble!! Grite, cante, bailé jajaja L… https://t.co/6kUCSzzKaK"
16,LunaMoon_Limelight🖤🔙,2022-03-13 01:35:46,"#BTS_IN_MEXICO se formarían en una fila muy larga para tomarse una foto con un suga de cartón tamaño real? 
No se u… https://t.co/ukypUMRdqG"
17,Alejandra Pitss✨,2022-03-13 01:35:17,Armyy les dejo este video en sangre morada de hoy 💜 #BTS_IN_MEXICO #PTD_ON_STAGE_SEOUL #PTD_ON_STAGE_SEOUL_day2… https://t.co/mg0PSEhdFh
18,An🤍,2022-03-13 01:35:16,"Hoy fui la más feliz del mundo💜✨
🕯🕯Manifestando que la próxima sea en vivo🕯🕯✨
Por más eventos como este💜🥂 
No. 1… https://t.co/ePBNF7QBve"
19,Kpopxarmy13,2022-03-13 01:31:59,#BTS_IN_MEXICO hermoso!!!❤️🎊🎉💜💖❤️💜💜💜💜 https://t.co/WYEh50SsM2
20,🎥 Kim Taehyung 💜🇲🇽🇰🇷,2022-03-13 01:30:35,"Fue la mejor experiencia de mi vida, comprendí lo que Hobie dijo ""esto se siente como mi verdadero hogar"" la pasé i… https://t.co/bqIYDBwIFe"
21,˖⸙̭ ᴮʳᵉⁿ ˖⸙̭ ⁷,2022-03-13 01:29:30,"Mi photocard que me dieron😭🥺
#BTS #BTS_IN_MEXICO https://t.co/tS1RWUxmec"
22,Valeriags,2022-03-13 01:28:30,"Ahhhh amo, estuvo increíble #BTS_IN_MEXICO https://t.co/b0QQmPLilq"
23,LunaMoon_Limelight🖤🔙,2022-03-13 01:26:04,"#BTS_IN_MEXICO fue tan hermoso,
Les agradezco por existir, no se que haría sin ustedes https://t.co/9JQtXSQEVs"
24,🍊🎂ᴀᴍᴇᴏғɪᴄɪᴀʟ😸🍊⁷ ˙८ ˙,2022-03-13 01:25:45,"@MasQueCineLatam Inolvidable, tanto la experiencia dentro de la sala (donde salí sin voz) como fuera conviviendo co… https://t.co/11JscZZJ9Q"
25,ₕₐwₗₗₑₑₖ 🧸💗,2022-03-13 01:22:17,"Se logró 💗 por cierto unas chicas súper lindas me regalaron su combo, las amo muchito💖
#bts_in_mexico https://t.co/CYerm2oSs3"
26,ˇ⭒ᵐⁱˡʸⁿⁱᵉ☁️🇲🇽,2022-03-13 01:19:01,"DEOSSSS AUN NO ME LO CREOO FUE TAN BONITOOO
#BTS_IN_MEXICO #cinepolis https://t.co/mHfLD1EA0x"
27,PMMinimi,2022-03-13 01:18:09,"Adoro las noticias del @heraldodemexico la seriedad ante todo. 💜💜 #taekook
Pdst: Claro, dentro de la nota se anunci… https://t.co/TY52Pb0ytv"
28,Diana Marien Alonso,2022-03-13 01:17:44,Fue la mejor experiencia del mundo ir al cine a verlos y no pude evitar pensar lo doble de emocionante que sería ve… https://t.co/lDNopD33dJ
29,karol~ODDINARY ʸᵒᵒⁿᵍᶦ ᵈᵃʸ♡,2022-03-13 01:15:32,"SE LOGRÓ GENTEEEE!!! Fui muy feliz :'3

#PTD_ON_STAGE_SEOUL
#BTS_IN_MEXICO @BTS_twt https://t.co/P9JuNpFaf6"
30,Karla H.,2022-03-13 01:13:39,"No supero que los haya visto en una pantalla grande, se veían hermosos, no me imagino cuando vaya a un concierto 😭😭… https://t.co/aet09NZYft"
31,Brenda Santeliz,2022-03-13 01:12:51,"Gracias por acompañarme a ver a BTS, @Beethsrc 🤭💜
#BTSARMY  #BTS_PTD_ON_STAGE_SEOUL 
#BTS_IN_MÉXICO 
#cinepolis https://t.co/kGuE6R7DC6"
32,D♡,2022-03-13 01:08:48,"acabo de salir del cine y solo diré que me duele la garganta ,😭💜 fue hermosooo! casi se me sale el alma en black sw… https://t.co/ghiRbVLZKH"
33,Erika Grom🗡,2022-03-13 01:08:19,COMO SUPERO ESTO?!!             #BTS #PermissionToDanceOnStageSeoul #ARMY #BTS_PTD_ON_STAGE_SEOUL #BTSCONCERT… https://t.co/krhE8k2XKt
34,閃光,2022-03-13 01:04:45,"Que feliz fui el día de hoy 💘
 #BTS_IN_MEXICO #BTSARMY https://t.co/HA4fdbya1P"
35,zoe | ʸᵒᵒⁿᵍᶦ ᵈᵃʸ🍊,2022-03-13 01:04:35,"MUY LINDO TODO 💜💜

#BTS_PTD_ON_STAGE_SEOUL 
#BTS_IN_MEXICO https://t.co/rym8su5un4"
36,;; bokisusu,2022-03-13 01:02:35,"#cinepolis gracias por tanto.
hermanas de sangre morada las amo 💜
#BTSARMY 
#BTS_PTD_ON_STAGE_SEOUL 
#BTS_IN_MEXICO https://t.co/NY9YRUzPQ3"
37,⁵brᥱᥒ⁷🦔,2022-03-13 01:00:01,"que bonita experienciaaa!💜💜

@BTS_twt
#bts_in_mexico
#방탄소년단  
#PTD_ON_STAGE_SEOUL https://t.co/M8yzyP7Ipi"
38,Karinam15,2022-03-13 00:56:06,"#BTS_IN_MEXICO #JungKooK
Tan guapo https://t.co/bVi2dM6GOs"
39,Mit,2022-03-13 00:53:56,"Ustedes si fueron con sus amiwibis al cine?? 😋💜

#PermissionToDanceOnStageSeoul 
#BTSPermissionToDanceOnStage… https://t.co/KsgptNnWHs"
40,Mit,2022-03-13 00:52:23,"Borrosa pero felizz

#PermissionToDanceOnStageSeoul 
#BTSPermissionToDanceOnStage 
#BTS_IN_MEXICO https://t.co/Gg0RcUYTUv"
