,name,time,tweet
0,み┋sᴏ፝֟ғɪᴀ⟭⟬💙,2022-03-13 01:32:54,@Cinepolis Gracias a ustedes fue una experiencia inolvidable 😭💗 https://t.co/LOy7ckohFh
1,María⁷ l PTD on Seoul,2022-03-13 01:32:53,"amixes, ya no puedo hablar #cinepolis #PTD_ON_STAGE_SEOUL"
2,⁷𝕿𝖘.٭,2022-03-13 01:32:52,"@gigi7taetae @Cinepolis Hasta con el gerente fui, si se pudo amigx 🥴"
3,Adamav,2022-03-13 01:32:52,"@Cinepolis GRACIAS A TI, POR SOPORTARNOS, AYUDARNOS Y DARNOS LA MEJOR EXPERIENCIA. GRANDES FAMILIA. PD: Gracias Joel. 💜💜💜💜💜🌹"
4,AvvButterfly 💜✨ aleja ✨ trying to stay alive,2022-03-13 01:32:49,"Hermoso todo, recién llegando a casa, orgullosa de Army Argentina que bailo, canto, y todo con mucho respeto… https://t.co/Pk1ZieBubW"
5,ᴮᴱyess⁷✨,2022-03-13 01:32:48,Medio pedorro tu combo pero gracias por el concierto 🥺💜 https://t.co/zUcoEtEq1g
6,PERLITAPINK,2022-03-13 01:32:42,"@Cinepolis Gracias tío Cinépolis, estuvo hermoso el concierto ✨💜💜 https://t.co/WaDNkaMabW"
7,Merry,2022-03-13 01:32:40,"@Cinepolis Gracias a ustedes, por hacer realidad el sueño de ARMY 💜💜💜💜💜💜✨✨✨"
8,Blanca Gamiño,2022-03-13 01:32:37,@Cinepolis Con toda la actitud....  aunque pedí mi boleto conmemorativo y los pases 😭😭😭😭😭 https://t.co/zCxDHqAafd
9,milo,2022-03-13 01:32:37,@Cinepolis Muchas gracias 🌞
10,Martha ❤️,2022-03-13 01:32:36,@Cinepolis Gracias 💕💕💕💕
11,Arii-San,2022-03-13 01:32:36,@Cinepolis Améeee el concierto...que se repita siempre...👏👏👏
12,Joss Garcia🍊,2022-03-13 01:32:31,@Cinepolis La pasé increíble!! Gracias Cinépolis!!!💜💜💜💜
13,seamos bestis💜,2022-03-13 01:32:29,@Cinepolis Gracias por esta experiencia 💜
14,~ 𝐌𝐢𝐧 ~,2022-03-13 01:32:27,@Cinepolis TODOOO
15,𝑳𝒊𝒛 ♡ PTD ON STAGE D-2 🔥💢,2022-03-13 01:32:26,@Cinepolis GRACIAS JOEL 💜💜💜
16,Sra. de Choi,2022-03-13 01:32:25,@Baby_Monnie_ @Cinepolis Coacalco? En Power Center (enfrente) todo bien con la transmisión.
17,Danna Moreno,2022-03-13 01:32:25,Luego me dieron unas estampas de bts 💜💜💜💜💜💜😉🙃 están hermosas muchas gracias #cinepolis gracias Joel https://t.co/6a6CE2KCP0
18,Mafer⁷ | ʏᴏᴏɴɢɪ ᴅᴀʏ,2022-03-13 01:32:24,@Cinepolis Gracias Cinépolis y al tío Joel lo llevamos en el corazón 💜💜 https://t.co/bP1oTeGDuu
19,yoongi_bias9,2022-03-13 01:32:24,@Cinepolis Gracias me la pase super y fue una maravilloso momento💜💜💜
20,♪✌︎☔︎ᴋɪᴍ_ᴘᴀɴᴅɪs☔︎✌︎♪,2022-03-13 01:32:21,@Cinepolis Me quedé sin voz pero valió la pena &lt;3 💜
21,I purple you💜,2022-03-13 01:32:19,@Cinepolis Gracias fue una experiencia maravillosa la AME💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜 https://t.co/siTZirCbY0
22,Bethliz,2022-03-13 01:32:19,@Cinepolis Gracias tío Joel ya descansarás de Army🤗
23,-𝓭𝓪𝓷 𝓳𝓮𝓸𝓷 ⁷ 🌱,2022-03-13 01:32:17,"@Cinepolis Gracias a ti, tío cinépolis... que se repita pronto 🥺💜"
24,Alexa Ruiz,2022-03-13 01:32:16,@Cinepolis Gracias a ustedes por traer el concierto a sus salas💜💜💜
25,⁷ & ⁹,2022-03-13 01:32:16,@Cinepolis Me dejaron sin garganta pero sin duda la experiencia fue muy buena. Más conciertos así por favor
26,.,2022-03-13 01:32:11,@Cinepolis Valió la pena aunque me quedé afónica
27,Marlene Luna,2022-03-13 01:32:09,@Cinepolis En el cine al que fui todo estuvo muy bien ✨ estupendo trabajo 💜 gracias https://t.co/f73PWc41TZ
28,xanat⁷ YOONGI DAY 😾💗🇲🇽,2022-03-13 01:32:05,@Cinepolis @ValuJim433 Gracias Cinépolis espero más de estos 🤠💗
29,aa.anavic,2022-03-13 01:32:05,@Cinepolis tqm Cinépolis&lt;333
30,Jekha,2022-03-13 01:32:01,"@Cinepolis Quede super ronca, pero valió la pena"
31,Slomit,2022-03-13 01:32:00,"@Cinepolis Gracias a usted tío Cinépolis, fue una buena experiencia...
Muchas gracias ☺️💜✨"
32,lil⁷🎐,2022-03-13 01:32:00,"en mi cine cinepolis fue super mal desorganizado, por otra parte mis BTS 10/10,pero cinepolis arregla a tus ""empleados""#cinepolis"
33,Alexa Hernández,2022-03-13 01:32:00,@Cinepolis Gracias 😊 quieroo mas de esto!!!!! https://t.co/k9hXvvWpnF
34,‎ クリセル ⟭⟬ ⁷ 🐋| ✨,2022-03-13 01:31:59,"@Cinepolis Gracias tío cinepolis, sigue dando lo mejor de ti para que todos podamos seguir en tus salas por más tiempo 💜"
35,Channel,2022-03-13 01:31:59,@Cinepolis Gracias a ti @cinepolis  me la pase increíble. 💜
36,julita,2022-03-13 01:31:58,hermanas xq dicen q no pudieron grabar literalmente en mi cinepolis no lo transmiti en vivo xq ni tenia ganas pero… https://t.co/hmZLmlVuNf
37,ᵗʰSʜᴀɴᴋᴏᴏᴋ~🦕 ; YOONGI DAY!,2022-03-13 01:31:57,@Cinepolis FUE HERMOSOOOO 💜😭 https://t.co/6IptjcZGlL
38,𝗩𝗮𝗹𝘂⁷ (SLOW) 🌶🇲🇽,2022-03-13 01:31:56,"@Cinepolis Tqm Joel 💜
Y gracias Cinépolis, por permitirnos vivir está experiencia tan cercana a la de un concierto… https://t.co/Q6M1NHuYFL"
39,damhxvy,2022-03-13 01:31:56,"@Cinepolis ojalá pronto algo así vuelva a suceder, gracias!!💜🫰"
40,𝗦𝗼𝗳𝗶𝗮 𝗹𝗼𝘃𝗲𝘀 𝗸𝗼𝗼𝗸!💗,2022-03-13 01:31:55,@Cinepolis Ame estoo
41,T̆̈ă̈m̆̈⁷⟭⟬💜⟬⟭ PTD on STAGE 💛,2022-03-13 01:31:53,@Cinepolis Gracias 💜🎟🎶☺
42,mîmi ᶠʳᵉˢⁱᵗᵃ♡,2022-03-13 01:31:52,"@Cinepolis Me quede sin voz, pero valió la penaaaa. 💜🛐"
43,Elizabeth 💫,2022-03-13 01:31:52,Repetición !!!! 😛🧡💛💜 muchas gracias tío #cinepolis  #PermissionToDanceOnStageSeoul https://t.co/km9JGsDbQR
44,🍃〽️ąཞı℘ơʂąɱҳ 🍊,2022-03-13 01:31:51,"@MasQueCineLatam ¡ E S P E C T A C U L A R ! 

#PTDLIVEVIEWING #PermissionToDanceOnStageSeoul #Cinepolis… https://t.co/vGDYaxjiv3"
45,fer loves humbe; kryptonita,2022-03-13 01:31:47,"@Cinepolis 💜Fue una experiencia muy bonita, gracias"
46,⁷La Mor de Bryan(Taylor's Version),2022-03-13 01:31:43,@Cinepolis Gracias Tío Cinépolis por hacerlo posible 💜💜
47,𝗵𝗮𝗺𝗶 ᵃᵘ'ˢ | 🏁,2022-03-13 01:31:43,"No pude ir a verlos en el cine pero cuando haya otra oportunidad si o si haré de todo por estar ahí.
Así que army s… https://t.co/ExEzwqnOVU"
48,☆꧁HoneyMin꧂☆,2022-03-13 01:31:43,@Cinepolis Gracias💜
49,Army✨,2022-03-13 01:31:42,@Cinepolis Gracias a ti Cinépolis...por traernos la transmisión 💜💜
50,hoyuelosnami🧸,2022-03-13 01:31:42,"@Cinepolis Me duele la garganta y las patas, pero valió cada maldito peso que me gaste."
51,𝚕𝚎𝚟𝚎𝚕 ♪✌︎,2022-03-13 01:31:42,@Cinepolis Gracias.  💜
52,MIAM LOVELY,2022-03-13 01:31:41,@Cinepolis gracias a bts y a ustedes por compartirnos eso
53,Luisa Conde,2022-03-13 01:31:40,@silvialqp @Cinepolis Si soy 🥰
54,LOURDES DE LA GARZA,2022-03-13 01:31:39,@Cinepolis Faltaron los subtítulos!!!
55,yoursJ.Liz_01 🇲🇽,2022-03-13 01:31:39,@Cinepolis Gracias a ti Cinepolis por proyectar en tus salas y dejarnos disfrutar como si fuera en vivo 💜💜👏🏻👏🏻
56,aldu💗,2022-03-13 01:31:38,Quien estaba en el cinepolis de avellaneda  a las 15hs en laa sala 3 me cayeron re bien reportense:( https://t.co/qQxc9w5NEG
57,hobi💗💗,2022-03-13 01:31:37,@Cinepolis GRACIAS POR TODOOOO
58,Anra_Min,2022-03-13 01:31:35,@Cinepolis Fue lo mejor del mundo✨✨✨✨
59,Yee Haw⁷,2022-03-13 01:31:29,"Un día para nunca olvidar, fue increíbleeeee😭🥺💜 https://t.co/ArghduQROp"
60,Kagehina,2022-03-13 01:31:29,@Cinepolis Deberían de transmitir conciertos pasados 😩🥺
61,𝔸𝕜𝕖𝕞𝕚|| Minkemi March🍊✨,2022-03-13 01:31:29,@Cinepolis GRACIAS POR TAN BONITA EXPERIENCIA!!! 💜💜💜💜💜
62,Wntty,2022-03-13 01:31:25,@Cinepolis Me quedé afónico pero valió la pena
63,페르,2022-03-13 01:31:19,@Cinepolis gracias! 💜
64,ᶻ 𝘇 : 🗞️ ★ 𝘅𝗑𝗮𝗹𝗆𝘅 ⭒ (愛),2022-03-13 01:31:13,"Hace 3 meses viendolos desde mi casa, hoy en el cine, y si se puede el próximo año en un estadio!!!

@BTS_twt @Ticketmaster_Me @Cinepolis"
65,🗝 K E Y🗝,2022-03-13 01:31:08,"ARMYS de la sala 10 de la 1 de la tarde de #cinepolis Santa Anita 
AUN NO SUPERO EL HECHO Q ME PERDI GO GO Y EL MOMENTO TAEKOOK!!!!!?"
66,mandarin juice,2022-03-13 01:31:07,(1) Hoy en el cine (Cinépolis Mx Córdoba) compré mi combo específicamente para tener mi boleto conmemorativo y pasó… https://t.co/scSauIZQML
67,Lenaa 💜✨| Gigi Day 😼,2022-03-13 01:31:06,"No salí del cine con las manos vacías. 🥺💜✨
Gracias a #BTSARMY Y @MasQueCineLatam
@cinepolis por hacer posible esta… https://t.co/busV79g9ws"
68,Cinépolis,2022-03-13 01:31:00,"A tod@s los que esperaron, estuvieron, aguantaron, rieron y compartieron, ¡gracias Army! 💜 BTS Permission to Dance✨ https://t.co/lttto8n9jo"
